ablation_id,category,changed_component,decision,risk_flag,OOF macro-F1,class0 F1,note
feat_all_features,feature,all_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_lexical,feature,use_lexical_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_category,feature,use_category_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_brand,feature,use_brand_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_attribute,feature,use_attribute_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_gender_age,feature,use_gender_age_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_query_features,feature,use_query_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_retrieval,feature,use_retrieval_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_semantic,feature,use_semantic_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_no_metadata,feature,use_metadata_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_only_core_features,feature,only_core_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_only_lexical_category_brand,feature,only_lexical_category_brand,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_only_attribute_gender_age,feature,only_attribute_gender_age,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_lexical_plus_retrieval,feature,lexical_plus_retrieval,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
feat_attribute_plus_semantic,feature,attribute_plus_semantic,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
neg_easy_only,negative,easy,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
neg_easy_plus_same_category,negative,same_category,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
neg_easy_plus_same_brand,negative,same_brand,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
neg_easy_plus_attribute_conflict,negative,attribute_conflict,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
neg_easy_plus_lexical_confusing,negative,lexical_confusing,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
neg_easy_plus_dense_hard,negative,dense_hard,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
neg_full_negative_mix,negative,full_mix,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
neg_full_negative_mix_without_dense,negative,full_mix_no_dense,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
neg_strict_false_negative_filter,negative,false_negative_filter,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
neg_moderate_false_negative_filter,negative,false_negative_filter,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
ret_no_retrieval_features,retrieval,retrieval_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
ret_bm25_only,retrieval,bm25_only,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
ret_dense_only,retrieval,dense_only,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
ret_hybrid,retrieval,hybrid,Good but risky,needs_fold_safe_recheck,,,requires real_dense artefacts; skipped unless --allow-real-dense
ret_rank_off,retrieval,rank_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
ret_score_off,retrieval,score_features,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
ret_overlap_off,retrieval,overlap_agreement,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
sig_no_attribute_conflict,feature,attribute_conflict_signals,Good but risky,needs_fold_safe_recheck,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet"
