ablation_id,experiment_name,category,changed_component,variant_description,splitter,seed_set,OOF macro-F1,class0 F1,class1 F1,best_threshold,threshold_fragility,seed_std,public_lb_score,public_oof_delta,note,risk_flag,status,report_dir,oof_path
feat_all_features,tab_all_features,feature,all_features,All tabular feature groups enabled,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_lexical,tab_no_lexical,feature,use_lexical_features,All features except use_lexical_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_category,tab_no_category,feature,use_category_features,All features except use_category_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_brand,tab_no_brand,feature,use_brand_features,All features except use_brand_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_attribute,tab_no_attribute,feature,use_attribute_features,All features except use_attribute_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_gender_age,tab_no_gender_age,feature,use_gender_age_features,All features except use_gender_age_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_query_features,tab_no_query_features,feature,use_query_features,All features except use_query_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_retrieval,tab_no_retrieval,feature,use_retrieval_features,All features except use_retrieval_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_semantic,tab_no_semantic,feature,use_semantic_features,All features except use_semantic_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_metadata,tab_no_metadata,feature,use_metadata_features,All features except use_metadata_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_only_core_features,tab_only_core_features,feature,only_core_features,"Only feature groups: use_lexical_features, use_category_features, use_brand_features, use_attribute_features, use_gender_age_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_only_lexical_category_brand,tab_only_lexical_category_brand,feature,only_lexical_category_brand,"Only feature groups: use_lexical_features, use_category_features, use_brand_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_only_attribute_gender_age,tab_only_attribute_gender_age,feature,only_attribute_gender_age,"Only feature groups: use_attribute_features, use_gender_age_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_lexical_plus_retrieval,tab_lexical_plus_retrieval,feature,lexical_plus_retrieval,"Only feature groups: use_lexical_features, use_retrieval_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_attribute_plus_semantic,tab_attribute_plus_semantic,feature,attribute_plus_semantic,"Only feature groups: use_attribute_features, use_gender_age_features, use_semantic_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_only,tab_easy_only_neg,negative,easy,Only random/easy negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_same_category,tab_easy_plus_same_category_neg,negative,same_category,Easy + same-category negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_same_brand,tab_easy_plus_same_brand_neg,negative,same_brand,Easy + same-brand negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_attribute_conflict,tab_easy_plus_attribute_conflict_neg,negative,attribute_conflict,Easy + attribute-conflict negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_lexical_confusing,tab_easy_plus_lexical_confusing_neg,negative,lexical_confusing,Easy + lexical confusing negatives,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_easy_plus_dense_hard,tab_easy_plus_dense_hard_neg,negative,dense_hard,Easy + dense semantic hard negatives,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
neg_full_negative_mix,tab_full_negative_mix_neg,negative,full_mix,Full negative mix including dense,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
neg_full_negative_mix_without_dense,tab_full_negative_mix_without_dense_neg,negative,full_mix_no_dense,Full negative mix without dense,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
neg_strict_false_negative_filter,tab_strict_false_negative_filter_neg,negative,false_negative_filter,Strict false-negative filter,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
neg_moderate_false_negative_filter,tab_moderate_false_negative_filter_neg,negative,false_negative_filter,Moderate false-negative filter,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
ret_no_retrieval_features,tab_no_retrieval_features,retrieval,retrieval_features,No retrieval-derived features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
ret_bm25_only,tab_bm25_only_retrieval,retrieval,bm25_only,BM25 retrieval features only,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
ret_dense_only,tab_dense_only_retrieval,retrieval,dense_only,Dense retrieval features only,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
ret_hybrid,tab_hybrid_retrieval,retrieval,hybrid,BM25 + dense hybrid retrieval features,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
ret_rank_off,tab_retrieval_rank_off,retrieval,rank_features,Retrieval score features without rank signals,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
ret_score_off,tab_retrieval_score_off,retrieval,score_features,Retrieval rank features without score signals,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
ret_overlap_off,tab_retrieval_overlap_off,retrieval,overlap_agreement,Retrieval features without overlap/agreement flags,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_attribute_conflict,tab_no_attribute_conflict,feature,attribute_conflict_signals,Attribute exact/conflict signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_gender_conflict,tab_no_gender_conflict,feature,gender_conflict,Gender conflict signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_age_conflict,tab_no_age_conflict,feature,age_conflict,Age conflict signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_brand_contradiction,tab_no_brand_contradiction,feature,brand_contradiction,Brand contradiction/exact signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_size_number,tab_no_size_number,feature,size_number,Size/number signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_tabular_baseline,tabular_baseline,model,tabular,Tabular model only,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_sklearn_text_baseline,sklearn_text_baseline,model,sklearn_text,Sklearn TF-IDF pair-text cross-encoder baseline,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_transformer_ce_best,transformer_ce_best,model,transformer_ce,Real transformer cross-encoder; requires GPU/deps,term_group,42,,,,,,,,,requires real transformer/GPU OOF; skipped unless --allow-transformer,needs_fold_safe_recheck,not_run,,
model_tabular_plus_sklearn_text,tabular_plus_sklearn_text,model,blend_tab_sklearn,Blend tabular + sklearn_text OOF,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_tabular_plus_transformer,tabular_plus_transformer,model,blend_tab_transformer,Blend tabular + transformer OOF,term_group,42,,,,,,,,,requires real transformer/GPU OOF; skipped unless --allow-transformer,needs_fold_safe_recheck,not_run,,
model_tabular_plus_transformer_plus_dense,tabular_plus_transformer_plus_dense_signals,model,blend_tab_transformer_dense,Tabular dense signals + transformer blend,term_group,42,,,,,,,,,requires real transformer/GPU OOF; skipped unless --allow-transformer,needs_fold_safe_recheck,not_run,,
model_best_single,best_single_model,model,best_single,Select best single model from completed OOFs,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
model_best_balanced_blend,best_balanced_blend,model,best_blend,Select best balanced blend from completed OOFs,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_fixed_05,threshold_fixed_05,threshold,fixed_05,Fixed threshold 0.5,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_oof_best,threshold_oof_best,threshold,oof_best,OOF best global threshold,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_class0_protective,threshold_class0_protective,threshold,class0_protective,Higher threshold to protect class 0,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_class1_protective,threshold_class1_protective,threshold,class1_protective,Lower threshold to protect class 1,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_stable_midpoint,threshold_stable_midpoint,threshold,stable_midpoint,Midpoint of stable near-optimal threshold plateau,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
thr_segment_analysis,threshold_segment_analysis_only,threshold,segment_threshold,"Segment threshold analysis only, not final decision",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
dense_no_dense_anywhere,no_dense_anywhere,dense,dense_off,Dense retrieval/negatives/features disabled,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
dense_features_only,dense_features_only,dense,dense_features,"Dense retrieval features on, dense negatives off",term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
dense_hard_negatives_only,dense_hard_negatives_only,dense,dense_negatives,"Dense hard negatives on, dense feature group off",term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
dense_features_plus_negatives,dense_features_plus_dense_negatives,dense,dense_features_and_negatives,Dense retrieval features and dense hard negatives together,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
dense_text_v1,dense_text_v1,dense,item_text_version,Dense item text version v1,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
dense_text_v2,dense_text_v2,dense,item_text_version,Dense item text version v2,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
dense_backend_A,dense_backend_A_multilingual_minilm,dense,dense_backend_A,Default multilingual MiniLM sentence-transformer,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
dense_backend_B,dense_backend_B_turkish_candidate,dense,dense_backend_B,Alternative Turkish/multilingual sentence model candidate,term_group,42,,,,,,,,,requires real_dense artefacts; skipped unless --allow-real-dense,needs_fold_safe_recheck,not_run,,
