component_name,status,readiness_score,technical_risk,private_lb_impact,submission_day_impact,confidence_level,evidence,open_gaps,recommended_action,priority
data contract,green,5,düşük,yüksek,orta,yüksek,src_kaggle/data/contracts.py | configs/kaggle/war_mode.yaml data_contract,none,Maintain strict contract checks before every data build.,P1
pair pipeline,green,5,düşük,yüksek,orta,yüksek,src_kaggle/data/pair_builder.py | build_pair_dataset.py,none,Run pair builder on official data and inspect data quality reports.,P1
attribute parser,green,5,düşük,orta,düşük,orta-yüksek,src_kaggle/data/attribute_parser.py | tests_kaggle/test_attribute_parser_examples.py,none,Keep parser tests in smoke suite; inspect rare attribute formats on official data.,P2
query intent,green,5,düşük,orta,düşük,orta-yüksek,src_kaggle/features/query_intent.py | tests_kaggle/test_query_intent_examples.py,none,Monitor segment distributions after official data join.,P2
retrieval,yellow,4,orta,orta,düşük,orta,src_kaggle/retrieval/hybrid_retriever.py | reports/retrieval design docs,official retrieval evaluation not run in this workspace,Run build_retrieval_index + evaluate_dense_retrieval on official items/queries.,P2
dense retrieval,yellow,3,orta-yüksek,yüksek,düşük,orta,real_dense backend guard implemented | reports/leaderboard dense risk flags,real dense model/index not materialized in workspace | public/OOF dense lift unknown,Build real dense index with official items; compare dense_v1/v2 and BM25 overlap before final use.,P1
negative mining,yellow,4,orta,yüksek,düşük,orta,src_kaggle/data/negative_mining.py | false-negative safety statuses,fold-aware negative rebuild not fully proven on official OOF,Use fold-aware negative builds for final validation; inspect uncertain/skipped rates.,P1
semantic hard negatives,yellow,3,yüksek,yüksek,düşük,orta,dense hard negative subtype/report code,semantic hard negative OOF gain unproven | false negative risk remains,Keep dense hard negatives out of default unless ablation shows class0-safe lift.,P0
feature engineering,green,5,düşük-orta,yüksek,düşük,yüksek,feature pipeline tests | tests_kaggle_count=19,none,Run feature catalog on official data; drop constant/leaky features if flagged.,P1
tabular modeling,yellow,4,orta,yüksek,düşük,orta,src_kaggle/models/tabular_model.py | validation runner,no official OOF metrics in workspace,Run official OOF; keep tabular as baseline/family A backbone until CE proves lift.,P0
transformer cross-encoder,yellow,3,yüksek,yüksek,orta,orta,real transformers path implemented with no silent fallback,real transformer fine-tuning not run here | operational GPU/dependency risk,Run GPU OOF with backend=transformers; compare against sklearn_text and tabular before final weighting.,P0
ensemble,yellow,3,orta-yüksek,yüksek,orta,orta,src_kaggle/final/ensemble_optimizer.py | final blend comparison,"no ready OOF candidates, no prediction-correlation evidence",Materialize OOF/test preds; reject highly correlated redundant blends.,P0
validation framework,yellow,4,orta,çok yüksek,düşük,orta,term_group/query_group/tail_aware splitters | threshold/segment reports,public/OOF correlation has 0 public points,Run splitter ablation on official data and track public/OOF correlation over submissions.,P0
OOF engine,yellow,4,orta,çok yüksek,düşük,orta,run_experiment.py | ablation runner,completed ablation rows=0/59,Complete official OOF ablations for selected final candidates.,P0
threshold optimization,yellow,4,orta,yüksek,orta,orta,threshold_optimizer.py | threshold reliability report,threshold stability not measured on real final OOF,Use OOF global/stable midpoint; never tune directly to public LB.,P1
error analysis,yellow,4,düşük-orta,orta,düşük,orta,src_kaggle/analysis | error reports scripts,requires real OOF errors to populate final insights,Run after first official OOF; inspect FP/FN class0-heavy segments.,P2
pseudo labeling,yellow,4,orta,orta-yüksek,düşük,orta,controlled pseudo label module disabled by default,not validated as final lift,Keep disabled unless late ablation proves safe; avoid final unproven pseudo labels.,P2
experiment tracking,green,5,düşük,orta,orta,yüksek,experiment registry | master logs | ablation master table,none,Continue recording all final submissions/public scores.,P1
public/OOF/private-LB strategy,yellow,3,orta,çok yüksek,orta,orta,leaderboard analysis reports | public_points=0,no public LB history yet,Add public LB entries after every upload; do not over-infer under n<3.,P0
submission safety,green,5,düşük,orta,çok yüksek,yüksek,submission_validator.py | submission checklist,none,Hard gate every final CSV through validator before upload.,P0
final family configs,green,5,düşük,orta,yüksek,yüksek,configs/kaggle/final/*.yaml | final_mode/frozen guards,none,Do not edit final configs directly; use experiments/promote workflow.,P0
artefact manifest,green,5,orta,orta,çok yüksek,yüksek,reports/final/final_artifact_manifest.json,none,Rebuild manifest after any final candidate/family change.,P0
reproducibility,yellow,4,orta,orta,yüksek,orta-yüksek,docs/competition_freeze.md | package/validate scripts,full dry-run impossible without official data/test predictions,Run final dry-run after official artefacts arrive; archive command outputs.,P1
competition freeze,green,5,düşük,orta,yüksek,yüksek,final config freeze index | submission day checklist,none,Use validate_final_release as race-day gate.,P0
docs / jury readiness,green,5,düşük,düşük,orta,yüksek,README.md | docs/* | final reports,none,Keep README pointing to Kaggle final path; avoid legacy confusion.,P2
actual final submissions,red,2,orta,yüksek,çok yüksek,yüksek,final release validation report,family submission.csv files not materialized | validator reports pending,Generate official family submissions from real test predictions and rerun release validation until release_ready=true.,P0
