ablation_id,category,changed_component,risk_flag,note,status
feat_all_features,feature,all_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_lexical,feature,use_lexical_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_category,feature,use_category_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_brand,feature,use_brand_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_attribute,feature,use_attribute_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_gender_age,feature,use_gender_age_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_query_features,feature,use_query_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_retrieval,feature,use_retrieval_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_semantic,feature,use_semantic_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_no_metadata,feature,use_metadata_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_only_core_features,feature,only_core_features,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_only_lexical_category_brand,feature,only_lexical_category_brand,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_only_attribute_gender_age,feature,only_attribute_gender_age,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_lexical_plus_retrieval,feature,lexical_plus_retrieval,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
feat_attribute_plus_semantic,feature,attribute_plus_semantic,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
neg_easy_only,negative,easy,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
neg_easy_plus_same_category,negative,same_category,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
neg_easy_plus_same_brand,negative,same_brand,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
neg_easy_plus_attribute_conflict,negative,attribute_conflict,needs_fold_safe_recheck,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",not_run
